Filename,Model_Type,Dim,Window,Neg,Vocab_Size,Analogy_Score,Analogy_Total,A1_Solved,A2_Solved,A3_Solved,A4_Solved,A5_Solved
cbow_d300_w3_n5.model,cbow,300,3,5,5005,2,5,True,False,False,False,True
skipgram_d300_w8_n20.model,skipgram,300,8,20,5005,1,5,True,False,False,False,False
cbow_d100_w3_n5.model,cbow,100,3,5,5005,1,5,False,False,False,False,True
skipgram_d350_w5_n5.model,skipgram,350,5,5,5005,1,5,False,False,False,False,True
skipgram_d350_w8_n15.model,skipgram,350,8,15,5005,1,5,False,False,False,False,True
cbow_d200_w3_n5.model,cbow,200,3,5,5005,1,5,False,False,False,False,True
cbow_d350_w3_n5.model,cbow,350,3,5,5005,1,5,False,False,False,False,True
cbow_d300_w3_n10.model,cbow,300,3,10,5005,1,5,False,False,False,False,True
skipgram_d100_w3_n5.model,skipgram,100,3,5,5005,1,5,False,False,False,False,True
cbow_d100_w3_n10.model,cbow,100,3,10,5005,1,5,False,False,False,False,True
cbow_d350_w5_n5.model,cbow,350,5,5,5005,1,5,True,False,False,False,False
cbow_d200_w3_n15.model,cbow,200,3,15,5005,1,5,False,True,False,False,False
skipgram_d350_w8_n5.model,skipgram,350,8,5,5005,1,5,False,False,False,False,True
skipgram_d350_w3_n5.model,skipgram,350,3,5,5005,1,5,False,False,False,False,True
skipgram_d100_w10_n10.model,skipgram,100,10,10,3364,1,5,True,False,False,False,False
cbow_d100_w10_n5.model,cbow,100,10,5,3364,1,5,True,False,False,False,False
skipgram_d100_w10_n15.model,skipgram,100,10,15,3364,1,5,True,False,False,False,False
cbow_d300_w5_n10.model,cbow,300,5,10,3364,1,5,False,True,False,False,False
cbow_d200_w5_n10.model,cbow,200,5,10,3364,1,5,False,True,False,False,False
cbow_d200_w8_n15.model,cbow,200,8,15,3364,1,5,False,True,False,False,False
skipgram_d300_w10_n10.model,skipgram,300,10,10,3364,1,5,True,False,False,False,False
skipgram_d50_w3_n5.model,skipgram,50,3,5,1505,1,5,False,False,False,True,False
cbow_d50_w7_n5.model,cbow,50,7,5,1505,1,5,False,False,False,True,False
cbow_d200_w7_n10.model,cbow,200,7,10,1505,1,5,False,False,False,True,False
cbow_d100_w7_n5.model,cbow,100,7,5,1505,1,5,False,False,False,True,False
cbow_d200_w7_n5.model,cbow,200,7,5,1505,1,5,False,False,False,True,False
cbow_d50_w5_n15.model,cbow,50,5,15,1505,1,5,True,False,False,False,False
cbow_d50_w5_n5.model,cbow,50,5,5,1505,1,5,False,False,False,True,False
skipgram_d100_w7_n15.model,skipgram,100,7,15,1505,1,5,False,True,False,False,False
skipgram_d50_w7_n10.model,skipgram,50,7,10,1505,1,5,False,True,False,False,False
cbow_d50_w3_n5.model,cbow,50,3,5,1505,1,5,False,False,False,True,False
